date,total_calls,avg_service_time,median_service_time,std_service_time,avg_vru_time,median_vru_time,avg_queue_time,median_queue_time,hangs,hang_rate,efficiency_score
1999-07-14,1508,151.64,95.0,198.1,8.69,6.0,48.44,18.0,189,12.53,87.47
1999-07-15,1269,176.67,104.0,251.78,8.22,6.0,59.9,19.0,198,15.6,84.4
1999-07-16,390,156.56,91.0,207.08,11.49,10.0,10.82,0.0,55,14.1,85.9
1999-07-17,121,129.17,43.0,217.97,14.3,11.0,9.1,0.0,55,45.45,54.55
1999-07-18,1425,159.42,100.0,205.65,10.16,7.0,47.53,9.0,190,13.33,86.67
1999-07-19,1497,162.14,100.0,232.25,9.91,6.0,57.03,22.0,224,14.96,85.04
1999-07-20,1672,144.5,83.5,210.81,9.35,6.0,63.75,25.0,293,17.52,82.48
1999-07-21,1683,140.64,67.0,237.07,11.83,6.0,102.47,54.0,475,28.22,71.78
1999-07-22,921,94.96,46.0,166.89,9.66,9.0,19.67,0.0,163,17.7,82.3
1999-07-23,577,118.66,56.0,208.96,12.03,6.0,71.68,30.0,217,37.61,62.39
1999-07-24,36,100.22,77.0,114.83,5.97,6.0,57.47,45.0,14,38.89,61.11
1999-07-25,1650,152.07,85.0,237.65,9.71,6.0,70.77,40.0,322,19.52,80.48
1999-07-26,1623,147.71,82.0,348.08,9.39,6.0,83.48,44.0,386,23.78,76.22
1999-07-27,1564,133.89,70.0,230.87,9.54,6.0,76.05,33.0,353,22.57,77.43
1999-07-28,1648,153.24,85.0,661.95,8.67,6.0,81.25,44.0,341,20.69,79.31
1999-07-29,1587,142.69,69.0,395.1,9.45,6.0,132.25,79.0,504,31.76,68.24
1999-07-30,592,128.68,74.0,522.93,11.1,10.0,30.15,0.0,126,21.28,78.72
1999-07-31,230,81.05,0.0,186.39,15.17,9.0,33.63,0.0,116,50.43,49.57
1999-08-01,2375,123.75,61.0,257.55,9.97,6.0,111.53,66.0,846,35.62,64.38
1999-08-02,2363,144.73,66.0,386.37,10.88,6.0,105.6,66.0,771,32.63,67.37
1999-08-03,2345,120.18,46.0,335.66,12.21,6.0,138.5,83.0,965,41.15,58.85
1999-08-04,1858,144.98,76.5,245.35,8.69,6.0,80.56,31.0,418,22.5,77.5
1999-08-05,1913,131.24,76.0,215.32,8.35,6.0,90.5,52.0,441,23.05,76.95
1999-08-06,710,114.68,60.0,178.15,12.18,9.0,62.86,20.0,211,29.72,70.28
1999-08-07,151,125.57,68.0,171.79,10.7,9.0,48.46,13.0,46,30.46,69.54
1999-08-08,1957,131.86,76.0,202.75,8.95,6.0,75.69,36.0,490,25.04,74.96
1999-08-09,2084,101.84,41.0,192.49,26.83,8.0,87.06,26.0,902,43.28,56.72
1999-08-10,2155,113.53,49.0,196.41,11.16,6.0,141.34,88.0,862,40.0,60.0
1999-08-11,1819,128.96,59.0,305.85,11.69,6.0,117.35,70.0,601,33.04,66.96
1999-08-12,1435,132.2,71.0,247.02,9.2,6.0,119.5,71.0,445,31.01,68.99
1999-08-13,601,121.65,73.0,167.65,11.65,9.0,46.72,0.0,144,23.96,76.04
1999-08-14,236,81.5,18.5,134.72,12.65,10.0,47.69,0.0,103,43.64,56.36
1999-08-15,1666,137.62,86.0,180.05,9.54,8.0,67.67,23.0,336,20.17,79.83
1999-08-16,1704,124.37,75.0,227.72,10.39,9.0,57.06,9.0,430,25.23,74.77
1999-08-17,1397,179.23,95.0,992.29,10.54,9.0,37.75,3.0,165,11.81,88.19
1999-08-18,1200,147.1,93.0,183.54,10.48,10.0,26.24,0.0,91,7.58,92.42
1999-08-19,1443,134.05,68.0,266.3,23.08,9.0,40.28,0.0,416,28.83,71.17
1999-08-20,543,126.97,63.0,212.17,12.91,9.0,37.11,0.0,115,21.18,78.82
1999-08-21,183,133.39,51.0,259.38,12.62,9.0,40.27,0.0,66,36.07,63.93
1999-08-22,1585,116.82,76.0,147.16,10.2,9.0,21.99,0.0,168,10.6,89.4
1999-08-23,1564,134.05,78.0,229.27,14.43,10.0,16.18,0.0,285,18.22,81.78
1999-08-24,1379,169.51,90.0,429.93,10.42,9.0,33.54,3.0,163,11.82,88.18
1999-08-25,1268,197.19,96.0,474.72,9.43,9.0,43.96,8.0,157,12.38,87.62
1999-08-26,1241,176.12,92.0,367.1,10.12,9.0,66.35,19.0,228,18.37,81.63
1999-08-27,462,162.68,80.0,306.65,11.37,9.0,18.54,0.0,86,18.61,81.39
1999-08-28,162,134.98,34.0,360.97,16.88,10.0,26.91,0.0,71,43.83,56.17
1999-08-29,1457,154.48,89.0,250.13,11.11,10.0,20.12,0.0,103,7.07,92.93
1999-08-30,1401,163.76,96.0,242.27,10.87,10.0,20.43,0.0,95,6.78,93.22
1999-08-31,1421,171.76,95.0,281.23,10.55,9.0,33.82,0.0,146,10.27,89.73
1999-09-01,1560,180.96,95.5,264.42,11.54,10.0,20.57,0.0,104,6.67,93.33
1999-09-02,1780,169.43,91.0,439.53,10.11,6.0,69.44,34.0,354,19.89,80.11
1999-09-03,797,128.6,66.0,222.06,12.47,10.0,22.32,0.0,198,24.84,75.16
1999-09-04,265,120.45,64.0,228.65,13.82,10.0,20.68,0.0,75,28.3,71.7
1999-09-05,1833,159.49,88.0,246.51,9.62,6.0,69.58,35.0,360,19.64,80.36
1999-09-06,1531,171.91,102.0,287.16,10.1,9.0,34.91,0.0,175,11.43,88.57
1999-09-07,1504,162.74,90.5,275.86,9.91,9.0,42.5,0.0,191,12.7,87.3
1999-09-08,1507,166.47,88.0,273.99,10.15,9.0,43.36,3.0,196,13.01,86.99
1999-09-09,1360,175.06,99.0,269.11,10.65,9.0,36.93,0.0,148,10.88,89.12
1999-09-10,491,116.85,66.0,206.4,14.17,11.0,9.18,0.0,114,23.22,76.78
1999-09-11,29,0.0,0.0,0.0,23.86,22.0,0.0,0.0,29,100.0,0.0
1999-09-12,203,124.4,63.0,237.0,13.47,11.0,7.55,0.0,58,28.57,71.43
1999-09-13,1845,171.51,97.0,276.18,9.64,9.0,38.88,0.0,200,10.84,89.16
1999-09-14,1723,173.62,101.0,252.34,10.6,9.0,43.29,0.0,220,12.77,87.23
1999-09-15,1584,169.39,103.0,236.87,10.87,10.0,17.96,0.0,110,6.94,93.06
1999-09-16,1607,183.12,100.0,297.21,11.08,9.0,45.86,4.0,222,13.81,86.19
1999-09-17,599,138.85,75.0,242.62,11.94,10.0,23.28,0.0,129,21.54,78.46
1999-09-18,165,109.76,65.0,145.11,14.3,11.0,6.22,0.0,40,24.24,75.76
1999-09-19,338,129.23,68.5,255.92,13.14,10.0,7.74,0.0,44,13.02,86.98
1999-09-20,161,119.01,64.0,170.4,13.88,10.0,10.61,0.0,37,22.98,77.02
1999-09-21,1713,173.55,98.0,308.6,10.33,9.0,25.3,0.0,159,9.28,90.72
1999-09-22,1593,169.7,99.0,217.86,11.42,10.0,15.03,0.0,111,6.97,93.03
1999-09-23,1387,173.47,98.0,308.16,10.56,9.0,26.08,0.0,113,8.15,91.85
1999-09-24,450,133.78,75.5,204.56,11.56,11.0,19.45,0.0,87,19.33,80.67
1999-09-25,110,133.89,70.0,217.71,13.55,10.5,6.88,0.0,20,18.18,81.82
1999-09-26,946,186.84,102.0,303.72,10.94,10.0,12.79,0.0,46,4.86,95.14
1999-09-27,1013,181.0,98.0,319.43,10.36,9.0,35.41,0.0,100,9.87,90.13
1999-09-28,1101,153.8,87.0,274.13,10.24,8.0,71.03,13.0,205,18.62,81.38
1999-09-29,1122,160.4,90.0,283.92,10.58,9.0,39.54,0.0,124,11.05,88.95
1999-09-30,1054,166.65,87.0,305.19,9.62,9.0,55.02,0.0,177,16.79,83.21
1999-10-01,512,127.97,72.0,203.89,11.68,10.0,8.63,0.0,86,16.8,83.2
1999-10-02,230,129.83,72.0,204.3,12.63,10.0,16.73,0.0,60,26.09,73.91
1999-10-03,1824,143.44,91.5,219.75,10.27,10.0,20.87,0.0,122,6.69,93.31
1999-10-04,1805,159.05,95.0,239.82,11.36,9.0,41.35,9.0,192,10.64,89.36
1999-10-05,1617,162.14,96.0,262.58,10.69,10.0,14.47,0.0,89,5.5,94.5
1999-10-06,1330,166.56,98.0,246.77,11.19,10.0,22.13,0.0,107,8.05,91.95
1999-10-07,1608,164.55,89.0,287.87,10.11,9.0,35.78,0.0,247,15.36,84.64
1999-10-08,593,140.35,70.0,244.25,12.32,10.0,35.76,0.0,163,27.49,72.51
1999-10-09,233,85.01,58.0,118.14,14.27,11.0,2.39,0.0,68,29.18,70.82
1999-10-10,1746,152.31,84.0,226.94,10.63,10.0,15.57,0.0,112,6.41,93.59
1999-10-11,1607,170.94,94.0,269.58,10.5,9.0,29.01,0.0,154,9.58,90.42
1999-10-12,1487,168.39,92.0,333.43,10.15,10.0,23.76,0.0,111,7.46,92.54
1999-10-13,1445,170.94,96.0,238.34,10.64,10.0,16.11,0.0,94,6.51,93.49
1999-10-14,1285,187.76,107.0,266.5,10.9,9.0,36.89,1.0,140,10.89,89.11
1999-10-15,615,128.56,61.0,253.29,11.53,9.0,31.03,0.0,151,24.55,75.45
1999-10-16,254,142.19,69.5,333.46,12.58,10.0,13.81,0.0,71,27.95,72.05
1999-10-17,1560,168.63,96.0,266.34,10.11,9.0,31.33,0.0,137,8.78,91.22
1999-10-18,1531,195.93,93.0,1581.23,10.87,9.0,47.32,0.0,145,9.47,90.53
1999-10-19,1267,172.02,92.0,322.52,10.85,10.0,21.54,0.0,117,9.23,90.77
1999-10-20,1235,162.9,93.0,255.12,10.59,10.0,19.37,0.0,105,8.5,91.5
1999-10-21,1396,156.25,94.0,236.21,10.41,10.0,15.57,0.0,84,6.02,93.98
1999-10-22,499,142.09,72.0,259.31,11.92,10.0,18.98,0.0,96,19.24,80.76
1999-10-23,222,179.06,83.5,351.32,12.88,10.0,41.91,0.0,51,22.97,77.03
1999-10-24,1166,152.83,93.0,208.25,10.76,10.0,12.98,0.0,74,6.35,93.65
1999-10-25,1356,153.35,91.0,216.54,10.78,10.0,15.7,0.0,86,6.34,93.66
1999-10-26,1363,174.95,103.0,255.0,11.16,9.0,33.95,0.0,124,9.1,90.9
1999-10-27,1184,168.98,100.0,240.42,10.72,10.0,16.5,0.0,86,7.26,92.74
